epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,697.824,1.36735,1.06638,1.44364,0.76494,0.72687,0.81268,0.53292,1.17662,0.91832,1.25505,0.0005941,0.0005941,0.0005941
43,714.487,1.37918,1.06053,1.43185,0.75263,0.74986,0.81521,0.52016,1.25338,0.96136,1.2983,0.0005842,0.0005842,0.0005842
44,731.01,1.35574,1.04597,1.42424,0.78513,0.73098,0.82355,0.53374,1.22963,0.88766,1.28525,0.0005743,0.0005743,0.0005743
45,747.543,1.37245,1.06965,1.44417,0.78515,0.72441,0.81848,0.55741,1.08962,0.8649,1.2337,0.0005644,0.0005644,0.0005644
46,764.265,1.3675,1.05011,1.44303,0.76847,0.74193,0.81054,0.52082,1.25688,0.93121,1.29498,0.0005545,0.0005545,0.0005545
47,780.883,1.3519,1.04372,1.4215,0.7731,0.73666,0.81615,0.54479,1.14394,0.89815,1.24894,0.0005446,0.0005446,0.0005446
48,797.445,1.36283,1.04403,1.43186,0.76623,0.74795,0.82106,0.52412,1.21672,0.88958,1.25935,0.0005347,0.0005347,0.0005347
49,813.999,1.35629,1.05777,1.4173,0.76713,0.73071,0.8152,0.54011,1.1503,0.89727,1.23848,0.0005248,0.0005248,0.0005248
50,830.744,1.36668,1.04462,1.42758,0.79136,0.73837,0.82866,0.55822,1.10677,0.88939,1.22901,0.0005149,0.0005149,0.0005149
51,847.426,1.33067,1.01891,1.40851,0.78367,0.74521,0.83156,0.56507,1.08562,0.85029,1.22739,0.000505,0.000505,0.000505
52,864.145,1.35906,1.03462,1.42784,0.78748,0.71897,0.82189,0.55499,1.11936,0.87825,1.23638,0.0004951,0.0004951,0.0004951
53,880.746,1.34667,1.022,1.42013,0.77429,0.72742,0.82217,0.56002,1.09,0.8657,1.23194,0.0004852,0.0004852,0.0004852
